district,api,ofcu_well_priority,operator_name,operator_no,lease_name,lease_no,well_no,bonded_depth,field_name,county,sfp_code,ice_inspection_date,ice_inspection_id,sb639_enf,sb639_r15,months_delinquent
02,02531121,3,"L & F DRILLING CO., INC. (1)",479591,GRIFFITH,110373,1,5565,BERKOW (VICKSBURG STRINGER),BEE,,2020-11-03,706761,,,278
02,02533609,4,"NORTH SHORE ENERGY, L.L.C.",614122,NSE O'BRIEN,247294,5,5100,BLANCONIA (4960),BEE,,2020-11-23,714009,,,39
7B,36333456,2,CRYSTAL RIVER OIL & GAS LLC,191683,BIRD,114541,1,4403,BRAZOS RIVER (ATOKA D ),PALO PINTO,270196,2020-07-07,653719,Enf,Rule 15,62
04,40903087,2,GREEN EXPLORATION COMPANY,330179,EXXON SPEER FEE,03282,4,5680,"WHITE POINT, EAST",SAN PATRICIO,270437,2021-03-15,753358,Enf,Rule 15,32
04,40903086,2,GREEN EXPLORATION COMPANY,330179,EXXON SPEER FEE,03961,3,4633,"WHITE POINT, EAST (HET 4600)",SAN PATRICIO,270438,2021-03-15,753355,Enf,Rule 15,32
7B,36333675,3,CRYSTAL RIVER OIL & GAS LLC,191683,BIRD,119690,2,4999,BRAZOS RIVER (ATOKA D ),PALO PINTO,270197,2020-07-07,653718,Enf,Rule 15,62
7B,13330634,2H,"PROSPECTA ENERGY GROUP, INC.",681481,WEST 1,15043,5,3110,PENN (CADDO),EASTLAND,,2020-02-27,592249,Enf,Rule 15,52
7B,13331195,4,"PROSPECTA ENERGY GROUP, INC.",681481,NORTH,13947,2,3110,PENN (RANGER),EASTLAND,,2019-11-13,548690,Enf,Rule 15,52
7B,13331196,4,"PROSPECTA ENERGY GROUP, INC.",681481,NORTH,13947,1,3100,PENN (RANGER),EASTLAND,,2019-11-13,548690,Enf,Rule 15,52
02,39132852,4,"HIGH PLAINS GAS SYSTEMS, INC.",385551,SCANIO/SHELTON,241967,12,8700,MISSION RIVER (8300 VKSBG),REFUGIO,,2021-01-13,730670,Enf,Rule 15,62
09,23739226,2,BLACK STRATA LLC,072748,LAUGHLIN-MEI,33161,20,5935,"NEWARK, EAST (BARNETT SHALE)",JACK,270257,2021-03-15,752796,Enf,,36
09,23739260,2,BLACK STRATA LLC,072748,LAUGHLIN-MEI,33161,21,5705,"NEWARK, EAST (BARNETT SHALE)",JACK,270257,2021-03-19,755165,Enf,,36
09,23739426,2,BLACK STRATA LLC,072748,MAXEY-MEI,33203,1,5319,"NEWARK, EAST (BARNETT SHALE)",JACK,270258,2021-03-08,750444,Enf,,36
09,23739449,3,BLACK STRATA LLC,072748,MAXEY-MEI,33203,2,5350,"NEWARK, EAST (BARNETT SHALE)",JACK,270258,2021-03-05,750031,Enf,,36
05,39500088,3,TALUS RESOURCES LLC,835618,GIBSON,00031,10,2171,CALVERT,ROBERTSON,270456,2021-02-02,739723,Enf,,61
05,39500112,3,TALUS RESOURCES LLC,835618,GIBSON,00031,9,2210,CALVERT,ROBERTSON,270456,2021-02-02,739723,Enf,,61
05,39500094,3,TALUS RESOURCES LLC,835618,GIBSON,00031,19,2169,CALVERT,ROBERTSON,270456,2021-02-02,739723,Enf,,61
05,39500120,3,TALUS RESOURCES LLC,835618,GIBSON,00031,23,2167,CALVERT,ROBERTSON,270456,2021-02-02,739723,Enf,,61
8A,41531185,2H,UNIFIED OIL & GAS CORP.,876305,HOLBROOK-LONGBOTHAM,61698,2,7000,TRI-RUE (REEF),SCURRY,270636,2020-02-25,590260,Enf,,53
8A,41531621,2H,UNIFIED OIL & GAS CORP.,876305,HOLBROOK-LONGBOTHAM,61698,4,6935,TRI-RUE (REEF),SCURRY,270636,2020-02-25,590260,Enf,,53
08,37133928,3,"DIAMOND M OIL CO., INC.",216899,SANFORD GRAY -P-,27734,4,1600,PECOS VALLEY (HIGH GRAVITY),PECOS,,2020-12-03,716700,,,264
08,37133803,3,"DIAMOND M OIL CO., INC.",216899,BYRNE,04724,21,1365,PECOS VALLEY (HIGH GRAVITY),PECOS,,2020-11-23,713749,,,264
08,37133923,3,"DIAMOND M OIL CO., INC.",216899,SANFORD GRAY -P-,27734,1,1455,PECOS VALLEY (HIGH GRAVITY),PECOS,,2020-12-03,716700,,,264
08,37133930,3,"DIAMOND M OIL CO., INC.",216899,SANFORD GRAY -P-,27734,2,1600,PECOS VALLEY (HIGH GRAVITY),PECOS,,2020-12-03,716700,,,264
08,37105571,3,"DIAMOND M OIL CO., INC.",216899,BYRNE,04724,5,1800,PECOS VALLEY (HIGH GRAVITY),PECOS,,2020-11-20,715810,,,264
08,37132914,2,"DIAMOND M OIL CO., INC.",216899,ATKINS-TERRY,25725,1,1673,PECOS VALLEY (HIGH GRAVITY),PECOS,,2020-11-19,714946,,,264
02,02580205,2,H & G OIL,340466,BLOCK #22,01122,1,3900,PETTUS,BEE,,2020-11-30,714969,,,281
05,21730308,4,"LGL ENERGY, INC.",500224,CONNALLY-WILEY,02468,4,799,MT. CALM,HILL,,2021-03-26,757216,Enf,Rule 15,90
04,35532945,3,AMERRIL ENERGY LLC,019786,PITA ISLAND GAS UNIT 2,151762,11R,14975,PITA ISLAND (J-02),NUECES,,2020-11-16,711375,Enf,Rule 15,49
04,35531622,3,AMERRIL ENERGY LLC,019786,PITA ISLAND GAS UNIT 2,188107,8,11349,PITA ISLAND (J-19),NUECES,,2020-11-16,711400,Enf,Rule 15,49
05,28930581,3,AMERRIL ENERGY LLC,019786,LACEY HEIRS,02661,B1,7400,PLEASANT RIDGE (WOODBINE),LEON,,2020-12-16,722412,Enf,Rule 15,49
05,28930370,3,AMERRIL ENERGY LLC,019786,NCOC GRESHAM,02218,1,7222,PLEASANT RIDGE (WOODBINE),LEON,,2020-11-05,707981,Enf,Rule 15,49
05,28930347,3,AMERRIL ENERGY LLC,019786,SHERMAN HEIRS,02222,1,7380,PLEASANT RIDGE (WOODBINE),LEON,,2020-11-05,707986,Enf,Rule 15,49
05,28930550,3,AMERRIL ENERGY LLC,019786,STRAUSS,02608,1,7353,PLEASANT RIDGE (WOODBINE),LEON,,2020-12-16,722411,Enf,Rule 15,49
04,42732092,2,"SANTA RITA HOLDINGS, LLC",748244,DAVENPORT -A-,10995,1A,4392,"RINCON, NORTH (4240)",STARR,271777,2020-12-17,722904,Enf,Rule 15,35
05,28930310,3,AMERRIL ENERGY LLC,019786,GRESHAM & SONS B-1,02097,1,7250,PLEASANT RIDGE (WOODBINE),LEON,,2020-11-05,707982,Enf,Rule 15,49
02,23933118,1,J&G OIL & GAS,427635,GOFF MINERAL TRUST,184797,1,6800,GOLDENROD CREEK (GOFF),JACKSON,271476,2020-12-17,722768,Enf,Rule 15,13
04,40901318,3,GREEN EXPLORATION COMPANY,330179,TAFT GIN AND SEED CO C,13533,6,4929,TAFT (4000),SAN PATRICIO,,2020-08-14,670681,Enf,Rule 15,32
02,46933094,4,"IWR OPERATING, LLC",427252,NANCE,166158,9,6910,"PLACEDO, EAST (5200)",VICTORIA,,2021-04-06,760073,,Rule 15,20
7B,35332727,4,"PAINT ROCK OPERATING, LLC",634974,BROOKS,28957,1,4110,MULBERRY CANYON (CISCO),NOLAN,,2020-11-13,710785,Enf,,58
7B,04931195,2,KOLLAO PROPERTIES LLC,474275,SHELTON,070494,2,1235,BROOKESMITH (MARBLE FALLS REEF),BROWN,,2020-12-15,721634,Enf,,98
7B,44736673,4,"ALPHA GAMMA ONSHORE, LLC",015112,RICHARDS,32056,2,4850,SWENSON (CADDO),THROCKMORTON,,2021-03-25,756939,Enf,,24
06,44980220,2H,COMANCHE WELL SERVICE CORP.,169420,TRIXLIZ WATERFLOOD UNIT,05459,101,3950,TRIX-LIZ (WOODBINE -A-),TITUS,271757,2020-08-25,676272,Enf,,122
7B,44736645,4,"ALPHA GAMMA ONSHORE, LLC",015112,MENARD,31950,1,1050,SWENSON (CADDO),THROCKMORTON,,2020-07-07,652975,Enf,,24
7B,44736660,4,"ALPHA GAMMA ONSHORE, LLC",015112,RICHARDS,32056,1H,2000,SWENSON (CADDO),THROCKMORTON,,2021-03-25,756939,Enf,,24
8A,07931452,2H,"LEE-STAN SALTWATER DISPOSAL,INC.",494440,KATE,62876,908,5068,LEVELLAND,COCHRAN,271256,2021-04-06,760038,Enf,,134
8A,50133886,2H,SIANA OIL & GAS,779259,BOURE',67244,1,12259,POKER DRAW (DEVONIAN),YOAKUM,,2021-03-25,756877,Enf,Rule 15,18
03,03930707,4,LTS OIL & GAS,511745,STATE LEASE 66709,154600,1,12631,RATTLESNAKE MOUND (7000),BRAZORIA,,2018-08-30,383862,Enf,Rule 15,89
04,24980110,2,J&G OIL & GAS,427635,THIGPEN GAS UNIT,067038,2,3700,TOM GRAHAM (3500-C),JIM WELLS,,2021-02-19,744380,Enf,Rule 15,13
7B,04935649,4,"PETROLIA GROUP, L.L.C.",660810,"GUTHRIE, R.C.",158652,4,1256,BROWN COUNTY REGULAR,BROWN,,2020-12-04,717244,Enf,Rule 15,68
7B,04933247,4,"PETROLIA GROUP, L.L.C.",660810,"MARTIN, WILLIE B.",154406,2,688,BROWN COUNTY REGULAR,BROWN,,2020-12-08,718792,Enf,Rule 15,68
7B,04933251,3,"PETROLIA GROUP, L.L.C.",660810,"BROOKS,D.",105612,4,623,BROWN COUNTY REGULAR,BROWN,,2020-10-29,705111,Enf,Rule 15,68
7B,04930963,4,"PETROLIA GROUP, L.L.C.",660810,"NICHOLS, O. H. -A-",073928,1A,1800,BROWN CO. REGULAR (MARBLE FALLS),BROWN,,2020-10-28,704814,Enf,Rule 15,68
8A,07901374,3,"SLATE HOLDINGS, INC.",787112,"FROST, J. W.",12999,1,4985,BUCKSHOT (4950),COCHRAN,,2021-03-26,757153,Enf,Rule 15,67
7B,04980140,4,"BROWN INDUSTRIAL GAS OP, INC.",100298,"MOORE, H. B. -A-",041140,1A,1150,"BROWNWOOD, SOUTH (MARBLE FALLS)",BROWN,,2020-06-09,641358,Enf,Rule 15,52
02,02532873,3,GREAT TEXAS CRUDE INC.,328774,SPECIAL,178889,1,5000,"TYNAN, EAST (3100)",BEE,,2020-10-27,704265,Enf,Rule 15,88
04,50534747,4,"CFO RESOURCES, INC.",120105,SIETE VELAS,200763,1,13230,UNO MAS TIEMPO (SYLVIA SAND),ZAPATA,,2020-04-16,616327,Enf,Rule 15,38
04,47933481,4,"CONTINENTAL EXPLORATION, L.L.C.",173649,VAQUILLAS RANCH - S.E.A.,129880,1,13092,VAQUILLAS RANCH (CARRIZO-1 LOW),WEBB,,2020-11-10,709443,Enf,Rule 15,49
02,17534020,4,HOUSTON GULF ENERGY CORPORATION,402723,STAUSS,232263,1,4010,POWDER RIVER (CONSOLIDATED),GOLIAD,,2020-05-28,694930,,Rule 15,15
02,17534220,4,HOUSTON GULF ENERGY CORPORATION,402723,BOEHL,279073,1R,3015,POWDER RIVER (CONSOLIDATED),GOLIAD,,2020-05-20,633068,,Rule 15,15
02,17533969,4,HOUSTON GULF ENERGY CORPORATION,402723,TAYLOR,226479,2,4003,POWDER RIVER (CONSOLIDATED),GOLIAD,,2020-05-28,636236,,Rule 15,15
09,00933088,3,MSB OPERATING,518696,COWAN-MCKINNEY -F-,18565,5,1493,ARCHER COUNTY REGULAR,ARCHER,272198,2019-10-10,534455,Enf,,38
7B,36334160,4,"ABX OIL & GAS, INC.",003646,GILBERT,144591,1A,4250,CALABRIA (BIG SALINE),PALO PINTO,,2019-06-19,487324,Enf,,25
7B,05900884,3,"ATWELL TECHNICAL SERVICES, INC.",036634,DUGAN,29772,1A,1762,CALLAHAN COUNTY REGULAR,CALLAHAN,,2021-04-07,760603,Enf,,26
7B,05936640,3,"ATWELL TECHNICAL SERVICES, INC.",036634,DUGAN,29772,8,1765,CALLAHAN COUNTY REGULAR,CALLAHAN,,2021-04-07,760603,Enf,,26
08,38930498,3,LINOP CORPORATION,501665,AMARILLO STATE -36-,24913,3,3340,"REAVES, N. (3200)",REEVES,,2020-12-09,719380,Enf,,246
10,23331262,3,"PETROLIA GROUP, L.L.C.",660810,CHRISTIAN,01022,5,3068,PANHANDLE HUTCHINSON COUNTY FLD.,HUTCHINSON,,2020-11-17,711640,Enf,Rule 15,68
7B,13337596,4,YELLOW ROSE OIL & GAS OPER. INC.,946964,HOPE,156651,1,3432,HEROD (LAKE),EASTLAND,,2020-11-23,714070,Enf,Rule 15,36
7B,05936533,4,"TEXAS SANDS RESOURCES, LLC",847981,"EVANS, J. W. -B-",11225,8,1466,CALLAHAN COUNTY REGULAR,CALLAHAN,,2020-11-04,707240,Enf,Rule 15,41
7B,05930236,4,"TEXAS SANDS RESOURCES, LLC",847981,"EVANS, J. W. -B-",11225,5,1082,CALLAHAN COUNTY REGULAR,CALLAHAN,,2020-11-04,707240,Enf,Rule 15,41
7B,05936924,4,"TEXAS SANDS RESOURCES, LLC",847981,"EVANS, J. W. -B-",11225,11,1895,CALLAHAN COUNTY REGULAR,CALLAHAN,,2020-11-04,707240,Enf,Rule 15,41
7B,08334013,4,"TEJAS JACK SALES, INC.",841296,"SLAGLE, L.B.",21091,1,2500,COLEMAN COUNTY REGULAR,COLEMAN,,2019-07-08,493110,Enf,Rule 15,49
04,47933007,4,"SEDCO OPERATING, LLC",763159,LAREDO NATIONAL BANK,094497,1A,2276,CAROLINA-TEX (2100 MIRANDO),WEBB,,2020-11-05,707922,,Rule 15,88
06,36534125,4,"PETROGAS ENERGY SERVICES, LLC",660284,WEINER UNIT,178310,1,3900,CARTHAGE (GLEN ROSE),PANOLA,,2020-11-13,710602,,Rule 15,92
06,36537520,4,"SUN RIVER OPERATING, INC.",829434,HINCHEN,256312,2,10102,CARTHAGE (COTTON VALLEY),PANOLA,,2020-06-10,642582,Enf,,92
01,31131459,3,CHALLENGER OIL INC,152379,CARON,125827,2,3708,CARON RANCH (1300),MCMULLEN,,2020-11-18,712148,Enf,,329
02,29735753,4,"APEX ENERGY, INC.",027424,MAGGIE MCNEILL A,11135,2,4650,"C. A. WINN, NE. (HOCKLEY 4300)",LIVE OAK,,2020-10-28,705236,Enf,,26
04,48930707,3,ERIN OIL CO.,253366,POLLOCK GAS UNIT,127553,1,11600,HARGILL (11400 FRIO),WILLACY,,2020-12-17,723118,Enf,,103
01,33133140,4,"SHOREHAM OIL & GAS COMPANY, INC.",778499,HOOD,11907,1,3302,CHEROKEE (NAVARRO),MILAM,,2020-11-17,711735,Enf,,190
08,38930907,3,RE-OP CORP.,695742,ARCO STATE,25126,4,3350,"REAVES, N. (3200)",REEVES,,2020-12-04,717513,Enf,,218
7B,25333321,4,"EDGE OIL AND GAS, LLC",243206,LOGSDON,23228,2,1999,HICKMAN HAVEN (TANNEHILL),JONES,,2020-01-21,572824,Enf,,20
02,28531685,2H,"STRATCO OPERATING CO., INC.",825462,TERRY-GOTT,229756,1D,2870,CLARKS CREEK (MIOCENE),LAVACA,,2020-11-10,709619,Enf,,119
7B,41730036,4,"ATWELL TECHNICAL SERVICES, INC.",036634,CLAUSELL-LONG-575,046151,2U,4645,CLAUSELL (MF CONGL),SHACKELFORD,,2020-10-26,703669,Enf,,26
04,48900306,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,03366,47,7700,WILLAMAR,WILLACY,,2020-11-04,707782,,Rule 15,39
04,48930640,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,03366,169,7750,WILLAMAR,WILLACY,,2020-11-04,707787,,Rule 15,39
04,48930067,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,03366,155,7715,WILLAMAR,WILLACY,,2020-11-04,707784,,Rule 15,39
04,48930028,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,03366,152,7855,WILLAMAR,WILLACY,,2020-11-04,707785,,Rule 15,39
04,48900279,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,03366,64,7760,WILLAMAR,WILLACY,,2020-11-04,707786,,Rule 15,39
04,48900274,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,03366,35,7600,WILLAMAR,WILLACY,,2020-11-04,707781,,Rule 15,39
05,34934642,3,CENTRAL BASIN OIL INV. INC.,141188,BRADLEY BROTHERS,00091,13,805,CORSICANA (SHALLOW),NAVARRO,,2020-12-07,718267,Enf,,127
01,31133539,4,"ROSS GAS AND OIL, LTD. CO.",729060,COUSINS,172575,1,8100,COUSINS (SLICK-WILCOX),MCMULLEN,,2020-11-04,707774,Enf,,101
7B,09331582,4,"PERGERSON ENERGY, L.L.C.",653595,NOWLIN-SMITH,31700,3,3043,COMANCHE COUNTY REGULAR,COMANCHE,,2021-02-25,746810,,,41
06,20380333,2,"TRIDENT PRODUCTION, L.L.C.",869240,SOUTH UNIT,04841,46,4286,BETHANY (GLEN ROSE 4300),HARRISON,12594,2021-03-18,754672,Enf,,288
06,20380327,2,"TRIDENT PRODUCTION, L.L.C.",869240,SOUTH UNIT,04841,28,4286,BETHANY (GLEN ROSE 4300),HARRISON,12594,2021-03-18,754672,Enf,,288
06,20301916,2,"TRIDENT PRODUCTION, L.L.C.",869240,SOUTH UNIT,04841,31,4286,BETHANY (GLEN ROSE 4300),HARRISON,12594,2021-03-18,754672,Enf,,288
03,20131963,2H,"CHAIN OIL & GAS, INC.",142250,HARRISON,19022,1A,3600,GOOSE CREEK,HARRIS,203571,2020-01-03,565868,Enf,,256
05,39530279,2H,"BRAVE HEART RESOURCES, INC.",089801,PASNIK,102067,1,1660,HAROLD D. ORR (NAVARRO),ROBERTSON,204251,2021-01-29,738151,Enf,,145
7C,10500033,2,"BUSTOS, MARTIN OIL",112687,NOELKE -J-,01068,4,1634,NOELKE,CROCKETT,235858,2020-12-02,715940,Enf,,76
7B,09331574,4,"PERGERSON ENERGY, L.L.C.",653595,NOWLIN-SMITH,31700,1,3005,COMANCHE COUNTY REGULAR,COMANCHE,,2021-02-25,746810,,,41
8A,03332175,2H,"SEISMIC WELLS, LLC",763925,BOLD BELIEVER,70415,301,8213,CORAZON (SAN ANDRES),BORDEN,,2021-02-22,744806,,,21
01,02130332,2,"ENERGY EQUITY, INC.",251981,OEHLER,07135,2,2190,MARSHA,BASTROP,12396,2017-04-10,205861,,,446
8A,11533049,3,"SALT CREEK PRODUCTION, INC.",744277,DEAN RANCH,68163,2,7560,FELKEN (SPRABERRY),DAWSON,,2021-03-23,755984,Enf,Rule 15,33
03,70400003,2H,"CAPCO OFFSHORE OF TEXAS, INC.",130342,440-L UNIT,132767,4021,11180,BRAZOS BLOCK 440 (-X- SD.),BRAZOS-LB,238976,2017-08-23,256370,Enf,,111
03,70400007,2H,"CAPCO OFFSHORE OF TEXAS, INC.",130342,440 L UNIT (NW),061034,4022U,8500,BRAZOS BLOCK 440 (-X- SD.),BRAZOS-LB,238977,2017-08-23,256399,Enf,,111
03,70400029,2H,"CAPCO OFFSHORE OF TEXAS, INC.",130342,440L UNIT,218420,4012,9057,BRAZOS BLOCK 440 (-W- SD.),BRAZOS-LB,238978,2017-08-23,256400,Enf,,111
03,70430239,2H,"CAPCO OFFSHORE OF TEXAS, INC.",130342,STATE TRACT 440L,160345,A1,10100,BRAZOS BLOCK 440 (-B- SD.),BRAZOS-LB,238980,2017-08-23,256422,Enf,,111
03,70430242,2H,"CAPCO OFFSHORE OF TEXAS, INC.",130342,STATE TRACT 440-L,137926,A2,8591,BRAZOS BLOCK 440 (-B-SD. FB A-2),BRAZOS-LB,238981,2017-08-23,256402,Enf,,111
03,70430244,2H,"CAPCO OFFSHORE OF TEXAS, INC.",130342,STATE TRACT 440-L,119910,3C,8661,BRAZOS BLOCK 440 (D SAND FB C-3),BRAZOS-LB,238982,2017-08-23,256423,Enf,,111
03,70430249,2H,"CAPCO OFFSHORE OF TEXAS, INC.",130342,440-L UNIT,149580,E1,8927,BRAZOS BLOCK 440 (-X- SD.),BRAZOS-LB,238983,2017-08-23,254230,Enf,,111
7B,05981807,4,"ATWELL TECHNICAL SERVICES, INC.",036634,DUGAN UNIT,10968,3S,1544,DYKES (COOK SAND),CALLAHAN,,2020-11-03,707031,Enf,,26
7B,05901938,4,"ATWELL TECHNICAL SERVICES, INC.",036634,DUGAN UNIT,10968,2C,1475,DYKES (COOK SAND),CALLAHAN,,2020-11-03,707031,Enf,,26
08,22733742,3,"SOUTHSTONE ENERGY, LLC",806004,GUITAR,26122,12,3330,MOORE,HOWARD,,2020-08-25,675777,Enf,,39
08,22733940,3,"SOUTHSTONE ENERGY, LLC",806004,GUITAR 2,30552,1,3325,MOORE,HOWARD,,2020-07-10,655357,Enf,,39
08,22732294,3,"SOUTHSTONE ENERGY, LLC",806004,GUITAR,26122,303,3240,MOORE,HOWARD,,2020-08-25,675777,Enf,,39
08,22733682,2H,"SOUTHSTONE ENERGY, LLC",806004,GUITAR,26122,4,3320,MOORE,HOWARD,,2019-11-18,552597,Enf,,39
08,22732218,3,"SOUTHSTONE ENERGY, LLC",806004,GUITAR,26122,301,3250,MOORE,HOWARD,,2019-11-18,552597,Enf,,39
03,07131449,2H,LAYTON ENERGY INC.,491399,STATE TRACT 205,24693,3,9250,"RED FISH REEF, N (F1C 7960 FB A)",CHAMBERS,,2017-01-25,178713,Enf,,99
08,37103828,3,"PATTERSON WATER DISPOSAL, INC.",643394,EDWARD DICKINSON,35057,1,2892,FORT STOCKTON,PECOS,,2020-11-06,708650,Enf,,226
09,00983045,2,APACHE PRODUCTION COMPANY,027237,FERGUSON -B-,00775,32A,4946,ARCHER COUNTY REGULAR,ARCHER,272877,2021-03-18,754961,Enf,,33
09,00983032,2H,APACHE PRODUCTION COMPANY,027237,FERGUSON -B-,00775,2,4946,ARCHER COUNTY REGULAR,ARCHER,272877,2021-03-11,752689,Enf,,33
01,05534924,2,"EAGLE FORD OIL CO., INC.",238351,D.G. TILLER,17930,3H,2874,LULING-BRANYON,CALDWELL,246262,2020-11-18,712107,Enf,Rule 15,62
01,05531122,3,"EAGLE FORD OIL CO., INC.",238351,HILL-REED,05729,1,2643,SALT FLAT,CALDWELL,246299,2021-03-24,756108,Enf,Rule 15,62
09,00983043,2,APACHE PRODUCTION COMPANY,027237,FERGUSON -B-,00775,29,4946,ARCHER COUNTY REGULAR,ARCHER,272877,2021-03-09,752688,Enf,,33
10,23330886,2H,PETRO HALEY,660062,THOMPSON,04665,1,3093,PANHANDLE HUTCHINSON COUNTY FLD.,HUTCHINSON,272937,2020-10-05,694655,Enf,Rule 15,54
04,40932164,2,"DOLPHIN PETROLEUM, LP",222226,WHATLEY,125366,1,3601,ODEM (3425),SAN PATRICIO,246340,2021-03-18,754531,Enf,Rule 15,48
01,05531108,3,"EAGLE FORD OIL CO., INC.",238351,KELLEY-PEREZ,02327,3,2078,LULING-BRANYON,CALDWELL,246361,2019-05-10,472622,Enf,Rule 15,62
08,37107738,2,"MOLDER, TOM",574060,SCHARFF-BLACKMON,10339,2,1964,MALICKY (QUEEN SAND),PECOS,251016,2021-04-06,760415,Enf,Rule 15,57
09,00983039,2,APACHE PRODUCTION COMPANY,027237,FERGUSON -B-,00775,24,4946,ARCHER COUNTY REGULAR,ARCHER,272877,2021-02-26,747832,Enf,,33
09,00983046,3,APACHE PRODUCTION COMPANY,027237,FERGUSON -B-,00775,32B,4627,ARCHER COUNTY REGULAR,ARCHER,272877,2021-03-05,749850,Enf,,33
09,02380187,3,GBF OPERATING LLC,298359,GREEN,01423,M1,3060,RENDHAM POOL,BAYLOR,,2021-02-11,743514,,Rule 15,21
03,24532078,2H,"LINDER OIL COMPANY,A PARTNERSHIP",501201,TYTEX,22475,2,9150,WILDCAT,JEFFERSON,258037,2020-11-20,713613,,Rule 15,38
09,00934998,3,APACHE PRODUCTION COMPANY,027237,FERGUSON -B-,00775,31,3581,ARCHER COUNTY REGULAR,ARCHER,272877,2021-03-08,752687,Enf,,33
02,23933242,3,"GEONATURAL RESOURCES, INC.",300805,GEO-GOLDENROD,207266,6,4511,WILDCAT,JACKSON,250796,2021-02-03,741484,Enf,,162
08,37110076,3,"BUSTOS, MARTIN OIL",112687,HILL & HILL,17448,2D,2074,MALICKY (QUEEN SAND),PECOS,251836,2020-11-12,710282,Enf,,76
04,70230153,2H,"VTEX ENERGY, INC.",887727,STATE TRACT 818L,092494,F3,10890,SAMEDAN (FRIO),MUSTANG IS-LB,257719,2019-06-04,483717,Enf,,200
03,03933216,2H,"EVERGREEN ENERGY, INC.",256489,MASTERSON IRR. CO. FARM -B-,01105,38R,2277,DAMON MOUND,BRAZORIA,258316,2020-11-12,710511,Enf,,40
06,20331793,2H,"L-TEXX PETROLEUM, LP",480266,HADDAD 1,189081,2,6500,LONGWOOD,HARRISON,258736,2020-12-21,724719,Enf,,160
04,42702910,3,MOMENTUM PRODUCTION CORP.,574329,DECKER GU,033336,3,1754,RICABY (1100),STARR,,2020-11-02,706303,Enf,,118
03,22531185,4,"ENFIELD OPERATING COMPANY, LLC",252138,DOUGLASS-BLACK HEIRS,25796,1,10324,FORT TRINIDAD (DEXTER),HOUSTON,,2020-12-14,721377,,,79
02,39131648,3,G. & M. ENERGY COMPANY,292290,ROBERT HEARD GAS UNIT,106953,2A,3417,REFUGIO-FOX (3300),REFUGIO,,2020-12-09,718974,,,388
02,39131375,4,G. & M. ENERGY COMPANY,292290,HEARD,086341,2,6614,REFUGIO-FOX (6300),REFUGIO,,2020-12-09,719082,,,388
04,13109182,3,"GARZACO OPERATING, LLC",296672,SOUTHLAND LIFE,014334,9,4485,SOUTHLAND (TEDDLIE),DUVAL,246516,2019-12-18,562775,,,48
04,13109197,3,"GARZACO OPERATING, LLC",296672,SOUTHLAND LIFE,014331,23,5150,SOUTHLAND (TEDDLIE),DUVAL,246517,2020-10-26,703881,,,48
04,13109214,3,"GARZACO OPERATING, LLC",296672,SOUTHLAND LIFE  INS.,175464,41,5509,SOUTHLAND,DUVAL,246518,2020-10-26,703888,,,48
04,13109215,3,"GARZACO OPERATING, LLC",296672,SOUTHLAND LIFE,014332,42,5393,SOUTHLAND (TEDDLIE),DUVAL,246519,2020-10-26,703884,,,48
7B,36331809,4,CRYSTAL RIVER OIL & GAS LLC,191683,RINGO,073360,1,4100,RINGO (STRAWN),PALO PINTO,,2020-11-02,706594,Enf,Rule 15,62
7B,20732394,4,LOW-END OIL LLC,510360,REAMES,28493,4,5110,HASKELL COUNTY REGULAR,HASKELL,,2020-11-09,708823,Enf,,57
01,02131567,2H,"UNITED OPERATING, LLC",877448,KOI UNIT,14842,1,3303,ROSS LEE (AUSTIN CHALK),BASTROP,260617,2021-03-09,750940,Enf,Rule 15,53
01,05534992,2,"HIGHER STANDARD OIL COMPANY,INC.",385715,FTR RANCH LTD,17535,1,4217,WILDCAT,CALDWELL,269936,2019-10-17,537384,Enf,Rule 15,37
01,05532943,2H,"HIGHER STANDARD OIL COMPANY,INC.",385715,LANGLEY-ALLBRIGHT,18621,1,1750,FENTRESS (1750),CALDWELL,269956,2020-03-10,597812,Enf,Rule 15,37
7B,43333416,3,"TKP PETROLEUM, INC.",860891,LUCKY 22-A,30179,1,5460,FLAT TOP 161 (STRAWN),STONEWALL,270396,2020-07-16,657785,Enf,Rule 15,34
7B,43333466,3,"TKP PETROLEUM, INC.",860891,LUCKY 22-D,30264,4,5500,FLAT TOP 161 (STRAWN),STONEWALL,270399,2021-04-06,760055,Enf,Rule 15,34
7B,43333482,2,"TKP PETROLEUM, INC.",860891,LUCKY 22-E,30366,5,6202,FLAT TOP 161 (STRAWN),STONEWALL,270400,2021-04-07,760831,Enf,Rule 15,34
